customer_id,order_day,restaurant_id,rest_type,cuisine,order_value,group_size
1000003,29.2,R19632,Cafe,"Cafe, Fast Food, Beverages",467.23,3
1000003,37.9,R18707,Quick Bites,"Fast Food, Rolls, Momos",170.49,3
1000003,39.3,R33738,Cafe,Cafe,355.43,3
1000003,42.2,R36279,Cafe,"Cafe, North Indian, Pizza, Sandwich, Salad",466.38,3
1000003,46.6,R36685,Cafe,"Cafe, Continental",509.19,3
1000003,47.5,R41914,Cafe,"Cafe, Continental, Italian, Burger",1112.7,3
1000003,51.4,R28006,Cafe,Cafe,719.01,3
1000003,55.2,R14795,Cafe,"Cafe, Mediterranean, Italian, Pizza, Continental",724.08,3
1000003,57.8,R30658,Cafe,"Cafe, Italian, Pizza",516.08,3
1000003,61.7,R35306,Cafe,"Cafe, Continental, Burger",1202.63,3
1000003,68.5,R01135,Cafe,"Cafe, Sandwich, Burger",801.08,3
1000003,74.8,R40669,Delivery,"Andhra, Biryani, North Indian, South Indian",318.01,3
1000003,82.4,R49064,Cafe,"Cafe, Continental, Italian, Salad",561.11,3
1000003,83.8,R43661,Cafe,"Cafe, Italian, Continental, Beverages",838.0,3
1000004,0.5,R37092,Casual Dining,"Chinese, North Indian, Arabian",544.81,7
1000004,1.6,R08866,Casual Dining,"Andhra, Biryani, North Indian, Chinese",506.76,7
1000004,1.7,R17223,Casual Dining,South Indian,461.97,7
1000004,2.7,R19780,Casual Dining,"North Indian, Chinese",461.59,7
1000004,3.9,R19320,Casual Dining,Biryani,377.45,7
1000004,6.7,R28670,Casual Dining,"South Indian, Street Food, Fast Food, Desserts, Beverages",601.63,7
1000004,7.3,R34623,Casual Dining,"Biryani, North Indian, Chinese",693.05,7
1000004,7.4,R00383,Quick Bites,"Sandwich, Fast Food, Rolls",207.68,7
1000004,8.6,R07719,Casual Dining,"Andhra, Chinese, North Indian, Biryani",569.55,7
1000004,10.8,R40656,Casual Dining,North Indian,580.61,7
1000004,11.6,R21650,Casual Dining,"Biryani, Andhra, North Indian, Chinese",928.07,7
1000004,12.5,R04557,Casual Dining,"Arabian, North Indian, Seafood, Chinese, Biryani",585.13,7
1000004,13.6,R24437,Casual Dining,"Chinese, Momos",1003.2,7
1000004,14.0,R13998,Casual Dining,"South Indian, Mangalorean, Chinese",661.61,7
1000004,14.9,R12916,"Cafe, Dessert Parlor","Cafe, Desserts",619.98,7
1000004,15.7,R45697,Casual Dining,"North Indian, Chinese, Biryani, South Indian",645.79,7
1000004,20.9,R13944,Casual Dining,"Arabian, Kerala, Biryani, South Indian, Chinese, BBQ",444.59,7
1000004,21.5,R08539,Quick Bites,"Chinese, North Indian",327.19,7
1000005,5.9,R02629,Beverage Shop,"Beverages, Sandwich",259.79,3
1000005,12.1,R29684,Beverage Shop,"Beverages, Sandwich",87.54,3
1000005,19.7,R30017,Dessert Parlor,"Desserts, Beverages",352.31,3
1000005,26.0,R11614,"Dessert Parlor, Quick Bites","Desserts, Beverages, Fast Food, Ice Cream",550.39,3
1000006,1.7,R47119,Confectionery,Desserts,819.21,3
1000006,2.4,R06562,"Casual Dining, Irani Cafe","Parsi, North Indian",1357.51,3
1000006,3.5,R28569,Quick Bites,"Arabian, North Indian",808.3,3
1000006,4.7,R04590,"Casual Dining, Bar","North Indian, South Indian, Andhra",523.97,3
1000006,6.4,R42048,Quick Bites,"South Indian, Biryani",167.22,3
1000006,6.8,R23885,Confectionery,Desserts,223.63,3
1000006,7.7,R04923,"Microbrewery, Pub","Continental, Italian, North Indian",1375.41,3
1000006,8.7,R02605,Casual Dining,"Pizza, Italian, Continental, Desserts",1240.35,3
1000006,9.4,R22079,Sweet Shop,Mithai,389.28,3
1000006,10.9,R02624,Casual Dining,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",878.76,3
1000006,11.5,R06346,Quick Bites,"Biryani, Mughlai, Fast Food",438.42,3
1000006,12.2,R29337,Cafe,"Cafe, Desserts",596.53,3
1000006,12.9,R01459,Cafe,"Cafe, Italian, Desserts",588.36,3
1000006,13.3,R06837,Casual Dining,"Biryani, Hyderabadi",846.33,3
1000006,14.6,R41940,Confectionery,Desserts,162.5,3
1000006,14.7,R27343,Casual Dining,"North Indian, Chinese, Arabian",521.86,3
1000006,15.6,R17983,Confectionery,Desserts,600.92,3
1000006,16.8,R45835,Confectionery,Desserts,207.86,3
1000006,17.7,R37614,Confectionery,Desserts,1001.62,3
1000006,21.2,R42287,Confectionery,Desserts,1168.21,3
1000006,22.5,R01666,Casual Dining,"North Indian, Chinese",386.74,3
1000006,22.9,R04045,Quick Bites,North Indian,384.69,3
1000006,24.0,R42287,Confectionery,Desserts,890.06,3
1000006,25.8,R41399,Quick Bites,"North Indian, Chinese, Mughlai",473.59,3
1000006,28.1,R10865,Cafe,"Cafe, American, Continental, Italian",696.15,3
1000006,29.0,R28143,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",952.36,3
1000006,30.5,R35492,Casual Dining,Chinese,629.38,3
1000006,31.2,R24468,Casual Dining,"Biryani, Kebab",774.0,3
1000006,32.0,R16409,Confectionery,Desserts,178.21,3
1000006,33.9,R48331,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",643.34,3
1000006,34.1,R05215,Food Court,"Bakery, Desserts, Beverages",430.71,3
1000006,34.8,R21269,Quick Bites,"North Indian, Chinese",476.4,3
1000006,36.4,R16023,Quick Bites,"North Indian, Chinese",273.84,3
1000006,38.1,R05379,Confectionery,Desserts,1625.4,3
1000006,38.6,R19201,"Casual Dining, Cafe","Healthy Food, Cafe, Beverages",689.53,3
1000006,39.3,R40757,Delivery,"North Indian, Mughlai, Biryani",394.1,3
1000006,40.5,R34810,Quick Bites,"Rolls, Salad, Sandwich",306.97,3
1000006,41.5,R37465,Confectionery,Desserts,196.27,3
1000006,42.3,R42536,Confectionery,Desserts,1017.62,3
1000006,44.0,R00311,Casual Dining,"Pizza, Italian, Salad",586.83,3
1000006,44.6,R14989,Confectionery,Desserts,717.3,3
1000006,45.1,R07431,Quick Bites,Chinese,209.24,3
1000006,46.0,R04674,Quick Bites,"North Indian, Chinese, Biryani",369.96,3
1000006,47.2,R17983,Confectionery,Desserts,1159.25,3
1000006,48.1,R06294,Casual Dining,Mexican,1096.52,3
1000006,49.9,R50661,Food Court,Biryani,487.1,3
1000006,50.4,R11752,Confectionery,Desserts,886.55,3
1000006,51.1,R37614,Confectionery,Desserts,970.15,3
1000006,51.5,R45265,Casual Dining,"Biryani, North Indian",845.56,3
1000006,52.7,R29262,Casual Dining,"Kerala, Seafood, Chinese, Biryani, Juices",1144.78,3
1000006,53.7,R21506,Pub,"North Indian, Italian",1138.76,3
1000006,54.9,R31132,Quick Bites,"Mangalorean, Chinese, North Indian",269.58,3
1000006,55.6,R23968,Casual Dining,"Biryani, Kebab",1312.01,3
1000006,57.6,R42536,Confectionery,Desserts,1398.28,3
1000006,58.4,R10650,Quick Bites,Biryani,265.85,3
1000006,59.4,R21575,Food Court,"Cafe, Fast Food, Desserts, Beverages",611.47,3
1000006,62.3,R24137,Quick Bites,"Arabian, Pizza, Greek, Lebanese, Mediterranean",1070.82,3
1000006,63.0,R18425,Confectionery,Desserts,1495.77,3
1000006,64.0,R27001,Dessert Parlor,Bakery,111.78,3
1000006,65.5,R37357,Cafe,"Cafe, Italian",217.3,3
1000006,65.8,R42536,Confectionery,Desserts,1715.97,3
1000006,66.7,R05033,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",328.29,3
1000006,67.2,R20152,Casual Dining,North Indian,804.69,3
1000006,67.5,R43612,Cafe,"Cafe, Mexican, Italian, Pizza",1032.71,3
1000006,68.6,R45735,Quick Bites,"Hyderabadi, Biryani",128.88,3
1000006,70.0,R47119,Confectionery,Desserts,643.9,3
1000006,71.1,R42287,Confectionery,Desserts,766.95,3
1000006,71.7,R25145,Casual Dining,Arabian,1019.92,3
1000006,72.7,R21913,Casual Dining,"Continental, American",785.48,3
1000006,73.9,R05577,Casual Dining,"Chinese, Thai, Indonesian",1251.24,3
1000006,76.4,R14989,Confectionery,Desserts,1498.73,3
1000006,76.8,R47119,Confectionery,Desserts,917.88,3
1000006,78.2,R08811,Cafe,"Cafe, Continental, Beverages",896.35,3
1000006,78.9,R42826,Casual Dining,"Seafood, South Indian, Bar Food, Mangalorean, Konkan",630.59,3
1000006,79.2,R47119,Confectionery,Desserts,1021.15,3
1000006,81.1,R23479,Casual Dining,North Indian,889.33,3
1000006,82.4,R34692,Casual Dining,"Biryani, Chinese, Mughlai, Fast Food, Kebab",689.56,3
1000006,83.0,R24726,Casual Dining,"Iranian, Mughlai, Chinese",819.73,3
1000006,83.8,R17983,Confectionery,Desserts,1060.21,3
1000006,84.4,R17754,Confectionery,Desserts,360.64,3
1000006,86.2,R41961,Casual Dining,"North Indian, Street Food",856.3,3
1000006,87.0,R48708,Confectionery,Desserts,230.42,3
1000006,89.4,R18425,Confectionery,Desserts,480.79,3
1000006,90.3,R19447,"Takeaway, Delivery","Andhra, North Indian, Chinese",607.1,3
1000006,92.0,R39554,Sweet Shop,"Mithai, Street Food",301.86,3
1000006,92.7,R10388,Casual Dining,"North Indian, Chinese, Arabian",1618.96,3
1000006,96.0,R34490,"Takeaway, Delivery","North Indian, Biryani",494.19,3
1000006,97.1,R08784,Quick Bites,"South Indian, North Indian",313.92,3
1000006,98.0,R45686,Quick Bites,Fast Food,272.26,3
1000006,99.5,R49751,Confectionery,Desserts,188.86,3
1000006,100.7,R14754,Confectionery,Desserts,196.87,3
1000006,101.2,R04785,Cafe,"Cafe, Italian, Continental, Burger",481.75,3
1000006,101.8,R34430,Cafe,Cafe,382.48,3
1000006,102.0,R00258,Casual Dining,"North Indian, Chinese",976.56,3
1000006,102.5,R33209,Delivery,Chinese,362.94,3
1000006,102.8,R32175,Casual Dining,"Italian, Pizza, Salad",1066.04,3
1000006,104.1,R07867,Casual Dining,"North Indian, Chinese, Biryani, Andhra",765.6,3
1000006,104.4,R42536,Confectionery,Desserts,989.72,3
1000006,104.5,R23631,"Cafe, Quick Bites","Cafe, Burger, Italian, Desserts",489.96,3
1000006,104.7,R23885,Confectionery,Desserts,178.77,3
1000006,105.6,R18786,Casual Dining,"Seafood, Mangalorean, North Indian, Biryani",647.8,3
1000006,106.2,R18425,Confectionery,Desserts,741.14,3
1000006,108.0,R39219,Confectionery,Desserts,272.14,3
1000006,108.7,R14989,Confectionery,Desserts,1684.31,3
1000006,109.4,R12721,"Bakery, Cafe","Bakery, Cafe, Italian, Desserts",553.8,3
1000006,109.8,R42536,Confectionery,Desserts,1006.09,3
1000006,110.2,R37465,Confectionery,Desserts,186.6,3
1000006,111.0,R17425,Cafe,"Cafe, Fast Food, Chinese",581.62,3
1000006,111.1,R49488,"Casual Dining, Cafe","Steak, Continental, American, Italian, Salad, Cafe",709.16,3
1000006,112.4,R26501,Casual Dining,"Pizza, Italian",307.55,3
1000006,112.8,R39933,Quick Bites,"Biryani, Seafood",355.61,3
1000006,114.1,R26422,Quick Bites,"Biryani, North Indian, Kebab",743.57,3
1000006,114.3,R42287,Confectionery,Desserts,1190.71,3
1000007,1.9,R48565,Microbrewery,"Continental, North Indian, Italian, South Indian, Finger Food",1682.49,3
1000007,2.9,R00396,Casual Dining,Chinese,908.33,3
1000007,4.4,R04906,Microbrewery,"Continental, North Indian, Italian, South Indian, Finger Food",896.2,3
1000007,8.3,R22475,Casual Dining,North Indian,625.72,3
1000007,9.9,R23576,Microbrewery,"Continental, American",1780.97,3
1000007,14.4,R49014,Microbrewery,"Continental, North Indian, Italian, South Indian, Finger Food",1865.1,3
1000007,22.4,R11350,Microbrewery,"Continental, American",1352.33,3
1000007,24.8,R10778,Microbrewery,"Continental, American",1090.09,3
1000007,27.8,R10778,Microbrewery,"Continental, American",1456.12,3
1000007,31.4,R23576,Microbrewery,"Continental, American",2589.7,3
1000007,34.0,R21507,Microbrewery,"Continental, American",1145.66,3
1000007,35.0,R04906,Microbrewery,"Continental, North Indian, Italian, South Indian, Finger Food",2226.96,3
1000007,35.8,R48565,Microbrewery,"Continental, North Indian, Italian, South Indian, Finger Food",1109.46,3
1000007,36.7,R01146,Microbrewery,"Continental, American",1743.07,3
1000007,39.1,R21507,Microbrewery,"Continental, American",2502.29,3
1000007,41.3,R30986,Casual Dining,Bengali,861.14,3
1000007,45.4,R09114,Microbrewery,"Continental, American",1187.05,3
1000009,6.5,R07775,Quick Bites,"South Indian, North Indian, Chinese",273.97,1
1000009,9.3,R30000,Quick Bites,Italian,338.33,1
1000009,13.7,R00704,Quick Bites,Biryani,375.42,1
1000009,15.0,R19531,Quick Bites,"Burger, Fast Food",557.38,1
1000009,17.7,R09039,Quick Bites,"North Indian, South Indian, Chinese",230.0,1
1000009,18.7,R20939,Quick Bites,"Biryani, Fast Food",359.35,1
1000009,20.8,R02070,Quick Bites,"North Indian, Chinese, Biryani, Rolls",374.77,1
1000009,23.9,R20395,Quick Bites,"Bengali, North Indian, Oriya",355.93,1
1000009,29.2,R12208,Cafe,"Cafe, Continental, American, Burger",680.77,1
1000009,35.4,R17731,Quick Bites,"Chinese, North Indian",131.17,1
1000009,38.4,R11079,Quick Bites,South Indian,187.79,1
1000009,45.8,R09242,Quick Bites,"Burger, Sandwich, Beverages",566.1,1
1000009,53.6,R18687,Quick Bites,"Biryani, Kebab",290.49,1
1000009,55.1,R40710,Quick Bites,North Indian,217.59,1
1000009,57.5,R11616,Quick Bites,"Fast Food, Rolls, Momos",289.09,1
1000009,61.1,R19870,Quick Bites,"North Indian, Biryani",430.6,1
1000009,63.1,R28479,Quick Bites,"North Indian, Chinese",475.1,1
1000009,65.9,R18990,Quick Bites,Burmese,432.63,1
1000009,66.5,R24107,Quick Bites,"Street Food, Fast Food",212.5,1
1000009,70.2,R28394,Quick Bites,"Mangalorean, Chinese, North Indian",174.76,1
1000009,74.0,R37439,Quick Bites,"Pizza, Burger, Coffee, Beverages",676.88,1
1000009,75.1,R19593,Cafe,"Cafe, Beverages, Desserts",425.78,1
1000009,79.4,R20383,Quick Bites,"Biryani, Andhra",250.0,1
1000009,86.6,R29752,Cafe,"Cafe, Desserts",1186.99,1
1000009,88.6,R07018,Quick Bites,"Andhra, South Indian",495.73,1
1000009,96.9,R28383,Quick Bites,"Burger, Beverages, Rolls",576.36,1
1000009,102.0,R35975,Dessert Parlor,"Desserts, Beverages",207.69,1
1000009,104.2,R26603,Cafe,"Cafe, Continental, Italian, Burger, Pizza",617.03,1
1000009,110.1,R19545,Quick Bites,"Chinese, North Indian",331.04,1
1000009,111.7,R19515,Bakery,Bakery,411.77,1
1000009,117.3,R43677,Quick Bites,"North Indian, Arabian, Fast Food, Chinese",502.09,1
1000009,125.5,R00943,Quick Bites,"North Indian, Chinese",288.52,1
1000009,131.7,R45877,Quick Bites,"Biryani, Kebab",251.48,1
1000009,132.8,R48558,"Bar, Casual Dining","North Indian, South Indian, Chinese, Hyderabadi",553.75,1
1000009,133.8,R47855,Quick Bites,"Arabian, Biryani, Rolls, Kebab",523.64,1
1000009,135.6,R03809,Casual Dining,"Biryani, North Indian, Chinese",584.6,1
1000009,139.7,R28865,Quick Bites,"Kerala, North Indian, Chinese",400.33,1
1000009,143.7,R29764,Quick Bites,"Burger, Beverages, Rolls",401.53,1
1000009,150.7,R23766,Quick Bites,"Fast Food, Juices",268.77,1
1000009,152.0,R43415,"Bar, Casual Dining","Finger Food, Continental, Pizza",1684.0,1
1000009,153.4,R08915,Quick Bites,"Biryani, Fast Food, North Indian",549.02,1
1000009,154.7,R44319,Quick Bites,Chinese,505.34,1
1000009,157.6,R18691,Quick Bites,"Fast Food, Biryani",468.08,1
1000009,158.6,R04234,"Takeaway, Delivery","Andhra, South Indian, North Indian, Biryani",308.59,1
1000009,159.7,R03039,Quick Bites,Andhra,478.95,1
1000009,166.9,R15441,Cafe,"Cafe, Continental, Italian, Burger",646.12,1
1000009,172.1,R27118,Food Court,"Kerala, South Indian",548.54,1
1000009,173.1,R34867,Quick Bites,"Biryani, Fast Food",342.35,1
1000009,175.2,R16460,Dessert Parlor,"Desserts, Beverages",357.69,1
1000009,179.1,R40913,Quick Bites,"Korean, Sushi",931.42,1
1000010,3.4,R04798,Casual Dining,"Chinese, North Indian",465.64,2
1000010,3.7,R05341,Casual Dining,"Mediterranean, Arabian, Lebanese, Rolls",800.47,2
1000010,5.3,R27305,Casual Dining,"Mexican, Continental, Italian, Chinese",763.02,2
1000010,6.5,R03801,Casual Dining,North Indian,616.05,2
1000010,7.6,R01021,Casual Dining,Bengali,544.03,2
1000010,9.1,R24998,Casual Dining,"Biryani, North Indian, Chinese",1126.34,2
1000010,9.3,R29346,Casual Dining,"Andhra, North Indian, Chinese",261.16,2
1000010,9.8,R46338,Casual Dining,"North Indian, Chinese, Seafood, South Indian",608.47,2
1000010,10.2,R11810,Casual Dining,"North Indian, Chinese, Biryani",579.75,2
1000010,11.6,R30938,Casual Dining,"North Indian, Fast Food, Street Food",501.33,2
1000010,12.2,R49794,Casual Dining,"North Indian, Fast Food, Street Food",649.53,2
1000010,13.4,R29116,Casual Dining,"Biryani, North Indian, Mughlai",1083.49,2
1000010,15.9,R08418,Casual Dining,"Biryani, North Indian, Mughlai",1263.58,2
1000010,18.1,R02989,Casual Dining,"Seafood, Mangalorean, South Indian",346.64,2
1000010,19.4,R16553,Quick Bites,"Mughlai, Biryani, Fast Food",624.39,2
1000010,21.1,R41108,Casual Dining,"Chinese, Thai, Momos",584.41,2
1000010,22.1,R20098,Casual Dining,"South Indian, Biryani, Chinese, North Indian",727.71,2
1000010,25.3,R42502,Casual Dining,"North Indian, Chinese",336.27,2
1000010,30.1,R16644,Casual Dining,North Indian,530.82,2
1000010,31.3,R26557,Casual Dining,"Continental, Mexican, Chinese, North Indian",516.74,2
1000010,32.8,R08211,Casual Dining,North Indian,577.21,2
1000010,33.9,R01941,Casual Dining,"Continental, Italian",769.86,2
1000010,36.4,R46320,Casual Dining,"Biryani, North Indian, Mughlai",425.31,2
1000010,38.6,R48435,Casual Dining,"North Indian, Chinese, Bengali",655.26,2
1000010,38.8,R40226,Casual Dining,"Biryani, Andhra, North Indian, Seafood",489.63,2
1000010,39.6,R43939,Casual Dining,"Italian, American, Asian, Continental, Mexican, Momos",626.91,2
1000010,41.2,R04840,Quick Bites,North Indian,229.76,2
1000010,44.3,R40197,Casual Dining,"Biryani, North Indian, Chinese",745.81,2
1000010,44.9,R16834,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",1393.06,2
1000010,45.3,R29204,Casual Dining,"Chettinad, South Indian",513.98,2
1000010,45.7,R10385,Casual Dining,"Andhra, North Indian",636.49,2
1000010,46.3,R04997,Cafe,"Cafe, Continental, Italian",1035.08,2
1000010,51.6,R10984,Quick Bites,South Indian,222.94,2
1000010,53.6,R22182,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",585.92,2
1000010,53.9,R32496,Casual Dining,"Kerala, Chinese",510.3,2
1000010,55.4,R25740,Casual Dining,"South Indian, Fast Food, Chinese, North Indian",771.15,2
1000010,57.1,R33448,Cafe,"Cafe, Chinese, Pizza, North Indian, Burger",601.83,2
1000010,60.9,R14713,Casual Dining,"Italian, American, Steak, Continental, BBQ, Salad",1056.27,2
1000010,63.2,R13309,Casual Dining,"Biryani, Chinese, Andhra",482.83,2
1000010,66.8,R18477,"Casual Dining, Cafe","Pizza, Cafe, Italian",769.19,2
1000010,67.1,R39241,Casual Dining,"Seafood, North Indian, Chinese",406.04,2
1000010,68.5,R12614,Casual Dining,"Biryani, Kerala, Seafood, South Indian",1000.6,2
1000010,69.4,R12504,Casual Dining,"Kerala, Seafood",1355.53,2
1000010,75.6,R28622,Casual Dining,"Bengali, North Indian",988.71,2
1000010,78.0,R29542,Casual Dining,North Indian,527.32,2
1000010,78.9,R43974,Casual Dining,"North Indian, Mughlai, Biryani, Rolls",403.89,2
1000010,80.7,R36172,Casual Dining,Bengali,820.43,2
1000010,81.8,R09341,Casual Dining,"North Indian, Biryani, Andhra, Chinese",535.52,2
1000010,83.1,R07457,Casual Dining,"North Indian, Biryani, Chinese, Mughlai",398.46,2
1000010,84.7,R07088,Casual Dining,Rajasthani,713.12,2
1000010,86.1,R12624,Casual Dining,"Chinese, Tibetan",543.87,2
1000010,86.9,R32622,Casual Dining,"North Indian, Chinese, Biryani",917.26,2
1000010,89.2,R09347,Food Court,"Rolls, Lebanese",414.96,2
1000010,90.0,R33682,Casual Dining,"North Indian, Chinese, Mangalorean",315.28,2
1000010,90.3,R15121,Quick Bites,"Chinese, Fast Food, Momos",241.51,2
1000010,92.9,R25188,Casual Dining,"North Indian, Mughlai, Biryani, Rolls",385.23,2
1000010,94.4,R09859,Casual Dining,"Chinese, North Indian, Mughlai",492.83,2
1000010,96.0,R01402,Casual Dining,"North Indian, Biryani, Andhra, Chinese",677.73,2
1000010,97.4,R39949,Casual Dining,"Chinese, North Indian, South Indian, Fast Food",269.41,2
1000010,98.7,R10857,Casual Dining,"Biryani, North Indian, Chinese, Hyderabadi",940.5,2
1000010,100.2,R12084,Casual Dining,"Continental, Mexican, Lebanese",482.85,2
1000010,103.4,R01935,Casual Dining,"Biryani, North Indian, Chinese",402.96,2
1000010,107.3,R07408,Casual Dining,"Andhra, South Indian",315.48,2
1000010,111.3,R14685,Casual Dining,"North Indian, Chinese, Biryani",424.65,2
1000010,112.1,R17680,Casual Dining,"North Indian, Mughlai",1019.47,2
1000010,114.9,R05300,Casual Dining,"Mangalorean, Seafood",539.18,2
1000010,117.9,R03802,Casual Dining,"North Indian, Street Food",533.6,2
1000010,118.1,R16834,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",770.69,2
1000010,119.5,R13378,Casual Dining,"North Indian, Chinese, Middle Eastern",830.71,2
1000010,123.9,R02246,Casual Dining,"North Indian, Seafood",749.84,2
1000010,124.5,R36158,Casual Dining,North Indian,380.85,2
1000010,125.9,R34484,Quick Bites,"North Indian, Kerala",844.95,2
1000010,127.4,R16389,Casual Dining,North Indian,377.41,2
1000010,127.7,R27030,Casual Dining,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",1569.79,2
1000010,129.7,R46320,Casual Dining,"Biryani, North Indian, Mughlai",413.41,2
1000010,130.7,R06989,Casual Dining,"Arabian, Lebanese, Mughlai, North Indian, BBQ",871.14,2
1000010,132.7,R31945,Casual Dining,"Pizza, Fast Food",1108.15,2
1000010,133.6,R39196,Quick Bites,South Indian,263.14,2
1000010,138.1,R40466,Casual Dining,"Kerala, Seafood, Chinese",754.32,2
1000010,139.9,R20084,Casual Dining,Rajasthani,952.58,2
1000010,143.1,R23897,Casual Dining,"North Indian, Mughlai, Chinese",485.22,2
1000010,146.0,R29739,Casual Dining,"North Indian, Chinese",402.25,2
1000010,146.6,R36809,Casual Dining,"Chinese, North Indian",509.01,2
1000010,147.8,R20848,Casual Dining,Chinese,713.09,2
1000010,150.5,R06041,Casual Dining,"Italian, Salad",1957.0,2
1000010,151.2,R41692,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",853.06,2
1000010,152.3,R43559,Casual Dining,"Andhra, Biryani, North Indian, Chinese",821.28,2
1000010,153.9,R48331,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",440.13,2
1000010,155.8,R47064,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",952.3,2
1000010,158.1,R23014,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",784.73,2
1000010,158.8,R10980,Casual Dining,"North Indian, Mughlai, Biryani",645.7,2
1000010,159.1,R05478,Casual Dining,"Chinese, Seafood",968.86,2
1000010,161.2,R47697,Casual Dining,"Pizza, Fast Food",737.52,2
1000010,161.6,R43525,Casual Dining,"North Indian, Chinese",296.37,2
1000010,163.3,R03447,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",822.63,2
1000010,165.1,R25986,Quick Bites,"Pizza, Fast Food",614.71,2
1000010,165.4,R04329,Casual Dining,"Andhra, North Indian, Chinese",428.73,2
1000011,5.0,R37796,Quick Bites,"North Indian, South Indian",129.39,2
1000011,16.0,R23766,Quick Bites,"Fast Food, Juices",487.82,2
1000011,18.8,R28734,Casual Dining,"Andhra, North Indian",513.13,2
1000011,22.7,R08430,Quick Bites,Pizza,969.65,2
1000011,36.3,R01789,Quick Bites,"Biryani, North Indian, Chinese",530.77,2
1000011,48.6,R29810,Quick Bites,Chinese,173.61,2
1000011,55.7,R11080,Quick Bites,Fast Food,326.73,2
1000011,59.3,R11745,Quick Bites,"South Indian, Biryani",155.65,2
1000011,64.6,R15474,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls",342.68,2
1000011,69.8,R40522,Quick Bites,North Indian,212.5,2
1000011,77.6,R32111,Quick Bites,"South Indian, North Indian, Chinese",24.09,2
1000011,86.1,R18668,Quick Bites,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",817.34,2
1000011,88.4,R09272,Casual Dining,"Biryani, Chinese, North Indian",623.4,2
1000011,97.4,R06817,Quick Bites,"North Indian, Chinese",197.39,2
1000012,50.4,R08431,Quick Bites,"North Indian, Chinese, Biryani",533.35,1
1000012,55.3,R50717,Quick Bites,"North Indian, South Indian",473.29,1
1000012,80.0,R10524,Quick Bites,"North Indian, Chinese",380.08,1
1000012,158.3,R46840,Quick Bites,"North Indian, Kebab, Fast Food",570.74,1
1000013,8.0,R43968,Casual Dining,"Continental, Italian",1126.32,5
