customer_id,identity_segment,engagement_tier,age,income,cost_preference,preferred_price_tier,group_size,explore_prob,preferred_rest_type,order_frequency_days,base_churn_hazard,location
1000059,Student,occasional,22,14825,296.0,Budget,2,0.35,Bakery,33.3,0.06,Marathahalli
1000060,Student,trial_only,19,13736,337.0,Budget,1,0.35,Cafe,29.5,0.15,Old Airport Road
1000061,Family,trial_only,50,131988,716.0,Mid-range,3,0.15,Casual Dining,38.3,0.15,Bommanahalli
1000062,Office Worker,occasional,26,78460,399.0,Budget,1,0.2,Delivery,4.9,0.06,Sarjapur Road
1000063,Family,trial_only,54,177145,798.0,Mid-range,4,0.15,Casual Dining,44.4,0.15,Indiranagar
1000064,Couple,power_user,35,53279,1656.0,Premium,1,0.3,Cafe,8.8,0.01,Koramangala 7th Block
1000065,Family,occasional,31,60199,958.0,Mid-range,1,0.15,Casual Dining,7.2,0.06,Ejipura
1000066,Family,trial_only,47,141485,718.0,Mid-range,5,0.15,Fine Dining,8.4,0.15,Kalyan Nagar
1000067,Family,regular,35,92348,974.0,Mid-range,6,0.15,Cafe,6.7,0.03,BTM
1000068,Office Worker,trial_only,27,58555,451.0,Budget,1,0.2,Casual Dining,22.8,0.15,BTM
1000069,Student,regular,22,11967,328.0,Budget,1,0.35,Quick Bites,1.7,0.03,Koramangala 5th Block
1000070,Office Worker,regular,35,34518,475.0,Budget,1,0.2,Food Court,2.4,0.03,Koramangala 6th Block
1000071,Student,occasional,22,23202,131.0,Budget,1,0.35,Cafe,26.3,0.06,Koramangala 5th Block
1000072,Office Worker,trial_only,31,71314,145.0,Budget,1,0.2,Casual Dining,53.5,0.15,Whitefield
1000073,Couple,regular,31,138624,1268.0,Premium,2,0.3,Lounge,13.0,0.03,Koramangala 7th Block
1000074,Student,trial_only,20,22072,232.0,Budget,1,0.35,Quick Bites,23.8,0.15,Koramangala 6th Block
1000075,Student,regular,24,26139,169.0,Budget,1,0.35,Dessert Parlor,7.9,0.03,Lavelle Road
1000076,Office Worker,occasional,29,81606,368.0,Budget,1,0.2,Casual Dining,11.1,0.06,Bellandur
1000077,Office Worker,occasional,40,55912,542.0,Mid-range,1,0.2,Quick Bites,12.8,0.06,New BEL Road
1000078,Family,regular,25,85036,872.0,Mid-range,3,0.15,Casual Dining,1.5,0.03,BTM
1000079,Family,occasional,25,159050,954.0,Mid-range,2,0.15,Dessert Parlor,7.0,0.06,Koramangala 7th Block
1000080,Couple,occasional,31,50229,1336.0,Premium,2,0.3,Pub,7.2,0.06,Bellandur
1000081,Family,occasional,20,93115,616.0,Mid-range,5,0.15,Casual Dining,11.5,0.06,Bommanahalli
1000082,Office Worker,regular,38,37829,528.0,Mid-range,1,0.2,Quick Bites,11.1,0.03,Frazer Town
1000083,Couple,regular,31,114349,1376.0,Premium,1,0.3,Cafe,5.0,0.03,Richmond Road
1000084,Student,trial_only,18,16740,291.0,Budget,1,0.35,Quick Bites,73.5,0.15,Koramangala 8th Block
1000085,Student,occasional,22,18607,305.0,Budget,1,0.35,Cafe,4.0,0.06,Whitefield
1000086,Student,trial_only,24,26306,363.0,Budget,2,0.35,Dessert Parlor,20.0,0.15,Brookefield
1000087,Family,occasional,55,95547,650.0,Mid-range,4,0.15,Casual Dining,0.7,0.06,Domlur
1000088,Office Worker,trial_only,24,51758,559.0,Mid-range,1,0.2,Casual Dining,33.1,0.15,Koramangala
1000089,Student,regular,23,22480,345.0,Budget,3,0.35,Cafe,5.8,0.03,Bellandur
1000090,Office Worker,occasional,29,37094,450.0,Budget,1,0.2,Quick Bites,18.2,0.06,Kalyan Nagar
1000091,Student,occasional,23,33380,422.0,Budget,1,0.35,Dessert Parlor,7.1,0.06,Koramangala 5th Block
1000092,Family,regular,41,177789,541.0,Mid-range,3,0.15,Fine Dining,2.4,0.03,Koramangala 6th Block
1000093,Office Worker,regular,36,72781,404.0,Budget,1,0.2,Cafe,3.0,0.03,Bellandur
1000094,Office Worker,occasional,38,36493,382.0,Budget,1,0.2,Cafe,16.9,0.06,HSR
1000095,Office Worker,trial_only,39,58346,486.0,Budget,1,0.2,Delivery,8.1,0.15,Jeevan Bhima Nagar
1000096,Family,occasional,25,102614,1036.0,Premium,1,0.15,Fine Dining,9.2,0.06,St. Marks Road
1000097,Office Worker,power_user,36,39981,352.0,Budget,1,0.2,Delivery,0.6,0.01,HBR Layout
1000098,Student,trial_only,18,31915,564.0,Mid-range,3,0.35,Cafe,26.9,0.15,Koramangala 5th Block
1000099,Student,regular,24,20376,247.0,Budget,1,0.35,Quick Bites,2.2,0.03,BTM
1000100,Food Explorer,regular,33,92209,690.0,Mid-range,2,0.7,Beverage Shop,3.3,0.03,Residency Road
1000101,Food Explorer,trial_only,25,95291,601.0,Mid-range,1,0.7,Food Court,9.3,0.15,Whitefield
1000102,Family,occasional,30,98376,809.0,Mid-range,2,0.15,Cafe,45.1,0.06,Banashankari
1000103,Office Worker,trial_only,39,50919,371.0,Budget,1,0.2,Casual Dining,33.1,0.15,Koramangala 7th Block
1000104,Food Explorer,trial_only,34,117628,867.0,Mid-range,2,0.7,Bakery,65.2,0.15,Sarjapur Road
1000105,Couple,occasional,29,132460,944.0,Mid-range,2,0.3,Cafe,23.9,0.06,Koramangala 1st Block
1000106,Family,regular,49,120132,446.0,Budget,1,0.15,Casual Dining,5.3,0.03,BTM
1000107,Office Worker,regular,35,62014,338.0,Budget,2,0.2,Casual Dining,3.8,0.03,Whitefield
1000108,Office Worker,trial_only,24,30486,595.0,Mid-range,1,0.2,Cafe,22.5,0.15,Wilson Garden
1000109,Student,trial_only,19,15106,400.0,Budget,1,0.35,Quick Bites,12.7,0.15,Bannerghatta Road
1000110,Food Explorer,regular,38,40493,100.0,Budget,2,0.7,Dessert Parlor,0.7,0.03,Indiranagar
1000111,Office Worker,regular,29,78356,531.0,Mid-range,2,0.2,Casual Dining,1.5,0.03,BTM
1000112,Student,regular,18,33526,141.0,Budget,1,0.35,Beverage Shop,9.8,0.03,Marathahalli
1000113,Office Worker,regular,33,39730,447.0,Budget,2,0.2,Food Court,1.7,0.03,JP Nagar
1000114,Family,trial_only,52,93741,558.0,Mid-range,3,0.15,Casual Dining,14.2,0.15,Brigade Road
1000115,Student,power_user,21,18806,371.0,Budget,1,0.35,Quick Bites,2.2,0.01,Richmond Road
1000116,Couple,regular,45,131207,1366.0,Premium,1,0.3,Microbrewery,2.3,0.03,BTM
1000117,Couple,trial_only,26,90726,1494.0,Premium,2,0.3,Pub,39.2,0.15,Frazer Town
1000118,Family,occasional,44,65227,741.0,Mid-range,5,0.15,Cafe,27.1,0.06,BTM
1000119,Office Worker,occasional,34,65151,431.0,Budget,1,0.2,Cafe,3.7,0.06,Richmond Road
1000120,Family,regular,55,77630,500.0,Budget,3,0.15,Cafe,1.6,0.03,Koramangala 5th Block
1000121,Family,power_user,38,137420,594.0,Mid-range,2,0.15,Cafe,1.7,0.01,Jayanagar
1000122,Family,regular,49,162814,990.0,Mid-range,5,0.15,Cafe,10.3,0.03,HSR
1000123,Student,power_user,19,11691,329.0,Budget,1,0.35,Dessert Parlor,4.4,0.01,Koramangala 6th Block
1000124,Office Worker,regular,23,89646,460.0,Budget,1,0.2,Cafe,1.4,0.03,Kammanahalli
1000125,Student,regular,23,26579,401.0,Budget,2,0.35,Food Court,8.3,0.03,Koramangala 6th Block
1000126,Office Worker,regular,23,33115,320.0,Budget,1,0.2,Food Court,5.2,0.03,Koramangala 8th Block
1000127,Office Worker,power_user,38,43200,522.0,Mid-range,1,0.2,Casual Dining,5.9,0.01,BTM
1000128,Student,trial_only,18,14191,206.0,Budget,1,0.35,Beverage Shop,11.8,0.15,Jayanagar
1000129,Student,regular,22,32092,418.0,Budget,1,0.35,Quick Bites,2.2,0.03,Marathahalli
1000130,Family,regular,36,146750,909.0,Mid-range,4,0.15,Casual Dining,10.6,0.03,Indiranagar
1000131,Student,trial_only,22,19323,377.0,Budget,2,0.35,Quick Bites,6.3,0.15,Bannerghatta Road
1000132,Food Explorer,regular,33,82360,425.0,Budget,1,0.7,Beverage Shop,6.7,0.03,Sarjapur Road
1000133,Family,occasional,35,101806,1236.0,Premium,2,0.15,Casual Dining,12.0,0.06,Koramangala 5th Block
1000134,Office Worker,trial_only,31,54358,650.0,Mid-range,1,0.2,Food Court,17.3,0.15,JP Nagar
1000135,Family,occasional,38,136575,886.0,Mid-range,4,0.15,Casual Dining,10.1,0.06,HSR
1000136,Student,regular,22,14861,394.0,Budget,2,0.35,Food Court,6.7,0.03,Indiranagar
1000137,Food Explorer,occasional,35,100776,525.0,Mid-range,2,0.7,Beverage Shop,1.7,0.06,Banashankari
1000138,Office Worker,occasional,31,86727,323.0,Budget,1,0.2,Quick Bites,6.0,0.06,Brigade Road
1000139,Couple,regular,31,147404,1439.0,Premium,2,0.3,Cafe,1.0,0.03,Indiranagar
1000140,Student,power_user,18,14306,226.0,Budget,1,0.35,Cafe,0.2,0.01,HBR Layout
1000141,Office Worker,power_user,37,54705,581.0,Mid-range,1,0.2,Food Court,0.6,0.01,Banashankari
1000142,Office Worker,trial_only,27,45915,555.0,Mid-range,2,0.2,Quick Bites,23.3,0.15,Whitefield
1000143,Food Explorer,regular,30,90797,659.0,Mid-range,1,0.7,Delivery,9.2,0.03,BTM
1000144,Family,regular,55,98916,836.0,Mid-range,4,0.15,Dessert Parlor,12.6,0.03,JP Nagar
1000145,Office Worker,occasional,37,53680,549.0,Mid-range,1,0.2,Casual Dining,25.6,0.06,Koramangala 1st Block
1000146,Office Worker,trial_only,29,38315,477.0,Budget,1,0.2,Casual Dining,29.4,0.15,JP Nagar
1000147,Office Worker,power_user,31,63597,410.0,Budget,1,0.2,Casual Dining,0.3,0.01,Jayanagar
1000148,Office Worker,power_user,28,62174,299.0,Budget,1,0.2,Cafe,0.6,0.01,Sanjay Nagar
1000149,Office Worker,regular,34,63095,546.0,Mid-range,1,0.2,Casual Dining,9.0,0.03,Thippasandra
1000150,Student,occasional,19,18533,329.0,Budget,2,0.35,Dessert Parlor,5.3,0.06,Brigade Road
1000151,Couple,occasional,44,125584,2027.0,Luxury,2,0.3,Pub,26.2,0.06,Shanti Nagar
1000152,Couple,trial_only,45,110785,1171.0,Premium,2,0.3,Cafe,13.5,0.15,Whitefield
1000153,Student,power_user,20,14413,324.0,Budget,1,0.35,Dessert Parlor,3.6,0.01,Residency Road
1000154,Family,regular,28,104143,865.0,Mid-range,6,0.15,Dessert Parlor,8.3,0.03,Commercial Street
1000155,Student,regular,21,26517,352.0,Budget,1,0.35,Quick Bites,14.5,0.03,Lavelle Road
1000156,Family,regular,43,73970,607.0,Mid-range,5,0.15,Casual Dining,5.8,0.03,Banashankari
1000157,Office Worker,occasional,34,51133,442.0,Budget,1,0.2,Cafe,12.4,0.06,Lavelle Road
1000158,Family,occasional,21,164712,966.0,Mid-range,4,0.15,Fine Dining,13.6,0.06,BTM
1000159,Family,regular,45,113010,733.0,Mid-range,3,0.15,Casual Dining,11.9,0.03,Marathahalli
1000160,Couple,occasional,25,100965,1437.0,Premium,2,0.3,Microbrewery,5.7,0.06,Banaswadi
1000161,Student,regular,20,27036,308.0,Budget,2,0.35,Quick Bites,4.8,0.03,Bannerghatta Road
1000162,Food Explorer,occasional,35,65748,700.0,Mid-range,2,0.7,Beverage Shop,12.7,0.06,Koramangala 5th Block
1000163,Student,regular,24,30662,392.0,Budget,2,0.35,Quick Bites,1.5,0.03,Banaswadi
1000164,Student,occasional,22,10409,282.0,Budget,2,0.35,Bakery,9.4,0.06,Ulsoor
1000165,Family,regular,25,116718,510.0,Mid-range,2,0.15,Casual Dining,8.2,0.03,Koramangala 7th Block
1000166,Office Worker,trial_only,35,65871,423.0,Budget,1,0.2,Cafe,8.0,0.15,Jayanagar
1000167,Couple,trial_only,24,73904,952.0,Mid-range,2,0.3,Microbrewery,43.8,0.15,BTM
1000168,Couple,trial_only,29,128251,562.0,Mid-range,3,0.3,Cafe,27.1,0.15,Domlur
1000169,Office Worker,trial_only,25,34766,439.0,Budget,1,0.2,Quick Bites,57.1,0.15,JP Nagar
1000170,Food Explorer,regular,40,92005,650.0,Mid-range,1,0.7,Pub,13.2,0.03,Banashankari
1000171,Office Worker,occasional,29,68002,552.0,Mid-range,1,0.2,Quick Bites,36.6,0.06,Indiranagar
1000172,Office Worker,regular,33,77263,336.0,Budget,1,0.2,Casual Dining,6.3,0.03,JP Nagar
1000173,Office Worker,trial_only,37,42424,459.0,Budget,3,0.2,Casual Dining,40.1,0.15,Bellandur
1000174,Food Explorer,regular,40,52399,882.0,Mid-range,1,0.7,Meat Shop,6.9,0.03,Basavanagudi
1000175,Student,regular,24,24512,254.0,Budget,2,0.35,Quick Bites,4.8,0.03,JP Nagar
1000176,Student,occasional,19,34293,343.0,Budget,3,0.35,Bakery,11.7,0.06,BTM
1000177,Office Worker,power_user,30,77097,610.0,Mid-range,2,0.2,Cafe,1.6,0.01,Koramangala 1st Block
1000178,Food Explorer,occasional,29,56906,134.0,Budget,1,0.7,Beverage Shop,4.7,0.06,Koramangala 6th Block
1000179,Couple,regular,41,90789,1282.0,Premium,3,0.3,Cafe,5.9,0.03,MG Road
1000180,Family,occasional,32,92013,1033.0,Premium,4,0.15,Cafe,15.5,0.06,Electronic City
1000181,Couple,trial_only,29,127987,1095.0,Premium,3,0.3,Fine Dining,17.0,0.15,Marathahalli
1000182,Couple,occasional,40,101233,1616.0,Premium,2,0.3,Fine Dining,8.8,0.06,Koramangala 5th Block
1000183,Office Worker,regular,31,56248,513.0,Mid-range,2,0.2,Quick Bites,17.4,0.03,Indiranagar
1000184,Office Worker,power_user,36,30311,627.0,Mid-range,1,0.2,Cafe,2.0,0.01,Whitefield
1000185,Couple,power_user,32,113368,1375.0,Premium,2,0.3,Cafe,0.7,0.01,HSR
1000186,Family,power_user,37,113094,1171.0,Premium,4,0.15,Casual Dining,2.5,0.01,Majestic
1000187,Office Worker,occasional,23,32379,480.0,Budget,2,0.2,Cafe,12.0,0.06,Koramangala 5th Block
1000188,Student,regular,18,14893,191.0,Budget,1,0.35,Beverage Shop,5.6,0.03,Sarjapur Road
1000189,Family,regular,20,147174,674.0,Mid-range,2,0.15,Casual Dining,6.2,0.03,Bannerghatta Road
1000190,Office Worker,regular,26,74941,552.0,Mid-range,1,0.2,Cafe,4.3,0.03,Koramangala 6th Block
1000191,Food Explorer,trial_only,28,79503,850.0,Mid-range,1,0.7,Bar,13.3,0.15,Sarjapur Road
1000192,Student,regular,18,28944,275.0,Budget,2,0.35,Quick Bites,0.8,0.03,Brigade Road
1000193,Student,regular,19,28460,444.0,Budget,2,0.35,Quick Bites,2.1,0.03,Jayanagar
1000194,Couple,occasional,42,111574,1094.0,Premium,4,0.3,Pub,18.1,0.06,Jayanagar
1000195,Student,power_user,23,15211,337.0,Budget,4,0.35,Cafe,7.3,0.01,Koramangala 5th Block
1000196,Student,trial_only,20,20542,335.0,Budget,2,0.35,Bakery,13.3,0.15,Bannerghatta Road
1000197,Family,power_user,54,157966,534.0,Mid-range,4,0.15,Casual Dining,1.8,0.01,Marathahalli
1000198,Couple,occasional,26,81023,1167.0,Premium,2,0.3,Lounge,12.3,0.06,Koramangala
1000199,Student,occasional,18,26502,490.0,Budget,2,0.35,Cafe,44.9,0.06,BTM
1000200,Office Worker,trial_only,29,79648,358.0,Budget,1,0.2,Cafe,24.4,0.15,Sarjapur Road
1000201,Couple,occasional,29,103325,1388.0,Premium,3,0.3,Microbrewery,48.0,0.06,Sanjay Nagar
1000202,Food Explorer,occasional,23,80567,311.0,Budget,1,0.7,Takeaway,1.7,0.06,Bommanahalli
1000203,Office Worker,regular,38,41258,357.0,Budget,3,0.2,Delivery,1.0,0.03,Richmond Road
1000204,Student,occasional,24,22412,187.0,Budget,1,0.35,Quick Bites,33.3,0.06,Bannerghatta Road
1000205,Student,occasional,19,11045,375.0,Budget,1,0.35,Dessert Parlor,4.9,0.06,Basavanagudi
1000206,Student,occasional,20,12835,230.0,Budget,2,0.35,Beverage Shop,10.5,0.06,Thippasandra
1000207,Student,occasional,23,23549,401.0,Budget,2,0.35,Quick Bites,10.0,0.06,Koramangala 7th Block
1000208,Family,regular,53,86206,694.0,Mid-range,5,0.15,Casual Dining,1.3,0.03,Jayanagar
1000209,Student,regular,20,18685,310.0,Budget,2,0.35,Cafe,5.0,0.03,BTM
1000210,Office Worker,regular,35,51629,491.0,Budget,1,0.2,Cafe,26.0,0.03,Brigade Road
1000211,Family,power_user,20,116787,477.0,Budget,2,0.15,Casual Dining,4.9,0.01,BTM
1000212,Family,regular,40,143863,841.0,Mid-range,3,0.15,Casual Dining,1.5,0.03,Indiranagar
1000213,Student,power_user,24,21152,328.0,Budget,1,0.35,Quick Bites,0.5,0.01,Ulsoor
1000214,Couple,occasional,34,134527,1542.0,Premium,3,0.3,Fine Dining,18.9,0.06,Whitefield
1000215,Family,occasional,43,117862,608.0,Mid-range,1,0.15,Casual Dining,38.1,0.06,JP Nagar
1000216,Family,occasional,44,179144,637.0,Mid-range,3,0.15,Dessert Parlor,47.0,0.06,Koramangala 4th Block
1000217,Student,occasional,22,34987,353.0,Budget,1,0.35,Cafe,17.4,0.06,BTM
1000218,Student,power_user,22,20686,413.0,Budget,2,0.35,Quick Bites,0.6,0.01,Bommanahalli
1000219,Food Explorer,power_user,38,101240,452.0,Budget,2,0.7,Mess,3.5,0.01,CV Raman Nagar
1000220,Office Worker,occasional,23,57192,326.0,Budget,1,0.2,Quick Bites,4.9,0.06,Sanjay Nagar
1000221,Office Worker,trial_only,38,82509,418.0,Budget,2,0.2,Cafe,31.1,0.15,BTM
1000222,Office Worker,occasional,39,75964,349.0,Budget,1,0.2,Delivery,21.7,0.06,BTM
1000223,Family,occasional,52,100608,880.0,Mid-range,3,0.15,Fine Dining,6.9,0.06,HSR
1000224,Food Explorer,occasional,28,65698,330.0,Budget,2,0.7,Cafe,31.2,0.06,Jeevan Bhima Nagar
1000225,Office Worker,occasional,33,82846,547.0,Mid-range,2,0.2,Casual Dining,11.1,0.06,Domlur
1000226,Food Explorer,occasional,28,83241,653.0,Mid-range,1,0.7,Irani Cafe,10.3,0.06,BTM
1000227,Student,occasional,23,27370,380.0,Budget,1,0.35,Quick Bites,6.6,0.06,BTM
1000228,Family,power_user,34,141242,315.0,Budget,4,0.15,Cafe,3.7,0.01,Indiranagar
1000229,Family,power_user,31,79903,448.0,Budget,2,0.15,Casual Dining,4.1,0.01,Whitefield
1000230,Student,regular,22,15906,403.0,Budget,1,0.35,Bakery,15.2,0.03,BTM
1000231,Student,occasional,18,32510,242.0,Budget,1,0.35,Cafe,9.8,0.06,BTM
1000232,Office Worker,occasional,29,46775,303.0,Budget,1,0.2,Casual Dining,15.0,0.06,Kalyan Nagar
1000233,Food Explorer,regular,25,109475,549.0,Mid-range,1,0.7,Bar,4.8,0.03,Koramangala 4th Block
1000234,Family,regular,33,102743,848.0,Mid-range,4,0.15,Casual Dining,7.8,0.03,Jayanagar
1000235,Food Explorer,occasional,30,107730,560.0,Mid-range,2,0.7,Dhaba,22.5,0.06,Whitefield
1000236,Couple,regular,25,107769,1340.0,Premium,3,0.3,Lounge,5.9,0.03,Electronic City
1000237,Office Worker,trial_only,38,35957,483.0,Budget,1,0.2,Food Court,19.9,0.15,Banashankari
1000238,Couple,regular,33,77041,1284.0,Premium,2,0.3,Cafe,5.6,0.03,Indiranagar
1000239,Student,regular,20,33817,408.0,Budget,1,0.35,Food Court,7.9,0.03,HSR
1000240,Student,regular,19,15204,299.0,Budget,3,0.35,Quick Bites,5.9,0.03,Jeevan Bhima Nagar
1000241,Couple,regular,45,72754,1187.0,Premium,3,0.3,Microbrewery,7.7,0.03,HSR
1000242,Couple,power_user,42,64950,1441.0,Premium,2,0.3,Cafe,2.9,0.01,Shanti Nagar
1000243,Student,regular,21,25241,344.0,Budget,1,0.35,Cafe,5.9,0.03,Koramangala 6th Block
1000244,Office Worker,regular,29,78559,360.0,Budget,1,0.2,Cafe,5.6,0.03,Electronic City
1000245,Family,regular,36,172346,782.0,Mid-range,4,0.15,Casual Dining,5.6,0.03,Whitefield
1000246,Couple,occasional,45,138598,1331.0,Premium,1,0.3,Microbrewery,9.8,0.06,Malleshwaram
1000247,Family,power_user,27,166068,683.0,Mid-range,5,0.15,Dessert Parlor,1.4,0.01,Koramangala 1st Block
1000248,Office Worker,regular,35,84284,396.0,Budget,1,0.2,Casual Dining,4.8,0.03,HSR
1000249,Office Worker,power_user,39,64065,311.0,Budget,2,0.2,Quick Bites,2.5,0.01,Church Street
1000250,Office Worker,trial_only,36,79298,162.0,Budget,1,0.2,Quick Bites,40.8,0.15,Richmond Road
1000251,Family,occasional,51,136167,725.0,Mid-range,3,0.15,Casual Dining,21.5,0.06,Banaswadi
1000252,Couple,trial_only,44,63729,1238.0,Premium,1,0.3,Lounge,70.0,0.15,JP Nagar
1000253,Office Worker,trial_only,24,31463,340.0,Budget,1,0.2,Quick Bites,32.2,0.15,Jayanagar
1000254,Student,regular,19,12443,410.0,Budget,2,0.35,Cafe,0.6,0.03,Jayanagar
1000255,Student,occasional,19,18644,216.0,Budget,2,0.35,Quick Bites,11.3,0.06,Koramangala 5th Block
1000256,Family,regular,40,119900,983.0,Mid-range,4,0.15,Dessert Parlor,5.5,0.03,Ejipura
1000257,Couple,trial_only,32,113846,1326.0,Premium,3,0.3,Cafe,18.9,0.15,Marathahalli
