restaurant_id,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,listed_in(type),popularity_score,appeal_score
R00086,1,0,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,0.492363623819453,0.837118951433651
R00087,0,0,3.5,31,Banashankari,Quick Bites,North Indian,200,Delivery,0.220459876732491,0.4680821131250411
R00088,0,0,3.5,7,Banashankari,Dessert Parlor,Desserts,500,Delivery,0.2196043634245062,0.4233848395708035
R00089,0,0,3.7,21,Banashankari,Quick Bites,Biryani,250,Delivery,0.2459098644670673,0.4711392615834994
R00090,0,0,,0,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,,0.3442019454913517
R00091,0,0,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,,0.3442019454913517
R00092,0,0,,0,Banashankari,Mess,South Indian,200,Delivery,,0.3442019454913517
R00093,0,0,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery,0.1809659787808168,0.4195277814457427
R00094,0,0,2.6,283,Banashankari,Casual Dining,North Indian,600,Delivery,0.1133137342082668,0.3704983647001126
R00095,0,0,3.3,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800,Delivery,0.1957584631424015,0.4627699234858385
R00096,0,0,3.8,64,Banashankari,Quick Bites,"Fast Food, Bakery",250,Delivery,0.2603458849503249,0.5286164648726279
R00097,0,0,3.7,39,Banashankari,Casual Dining,"North Indian, Iranian",950,Delivery,0.2465514994480558,0.4956603882957864
R00098,0,0,3.7,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,Delivery,0.247478305531706,0.5162000083620158
R00099,1,0,3.8,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,0.2605954096651539,0.5333341693760678
R00100,0,0,3.5,52,Banashankari,Quick Bites,South Indian,300,Delivery,0.2212084508769777,0.4832731700472058
R00101,0,0,3.7,130,Banashankari,Quick Bites,South Indian,200,Delivery,0.2497953207408315,0.5443269327769259
R00102,0,0,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,0.2197113025880043,0.4343067245495546
R00103,0,0,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery,0.2596686035815037,0.5125893087093948
R00104,0,0,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,Delivery,0.1810372715564823,0.4236365691975668
R00105,0,0,3.5,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,0.2198182417515024,0.442292427323944
R00106,0,0,3.4,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,Delivery,0.2067367840058873,0.4239805121121103
R00107,0,0,,0,Banashankari,"Takeaway, Delivery",Beverages,250,Delivery,,0.3442019454913517
R00108,0,0,3.2,9,Banashankari,Quick Bites,Biryani,300,Delivery,0.1809659787808168,0.4195277814457427
R00109,0,0,3.2,4,Banashankari,Quick Bites,North Indian,300,Delivery,0.1807877468416533,0.4008163589600885
R00110,0,0,,0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200,Delivery,,0.3442019454913517
R00111,0,0,3.1,29,Banashankari,Quick Bites,North Indian,150,Delivery,0.1687756807310192,0.4306714586501649
R00112,0,0,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery,0.2067367840058873,0.4239805121121103
R00113,0,0,,0,Banashankari,Dessert Parlor,Mithai,150,Delivery,,0.3442019454913517
R00114,0,0,,0,Banashankari,Bakery,Bakery,300,Delivery,,0.3442019454913517
R00115,0,0,,0,Banashankari,Quick Bites,"North Indian, Street Food",200,Delivery,,0.3442019454913517
R00116,0,0,,0,Banashankari,"Takeaway, Delivery",South Indian,150,Delivery,,0.3442019454913517
R00117,0,0,,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",150,Delivery,,0.3442019454913517
R00118,0,0,,0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",250,Delivery,,0.3442019454913517
R00119,0,0,3.1,30,Banashankari,Bar,"Chinese, North Indian",1000,Delivery,0.1688113271188519,0.4309572011988321
R00120,1,0,4.1,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,0.3039391175027596,0.6331948553644439
R00121,0,0,3.3,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,Delivery,0.193797911811603,0.4171436967220501
R00122,0,0,3.1,6,Banashankari,Quick Bites,"Fast Food, South Indian",100,Delivery,0.1679558138108671,0.4077535095107673
R00123,0,0,3.3,17,Banashankari,Quick Bites,"Street Food, Fast Food",200,Delivery,0.19415437568993,0.4378193711306629
R00124,0,0,2.9,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,0.1428266435667852,0.4131487129939715
R00125,0,0,,0,Banashankari,Delivery,"South Indian, North Indian, Continental",400,Delivery,,0.3442019454913517
R00126,0,0,,0,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350,Delivery,,0.3442019454913517
R00127,0,0,3.3,8,Banashankari,Delivery,South Indian,100,Delivery,0.1938335581994357,0.420486927776948
R00128,0,0,,0,Banashankari,Quick Bites,"Rolls, North Indian",150,Delivery,,0.3442019454913517
R00129,0,0,,0,Banashankari,Quick Bites,South Indian,150,Delivery,,0.3442019454913517
R00130,0,0,,0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200,Delivery,,0.3442019454913517
R00131,0,0,,0,Banashankari,Quick Bites,North Indian,100,Delivery,,0.3442019454913517
R00132,0,0,,0,Banashankari,Quick Bites,"Biryani, Fast Food",400,Delivery,,0.3442019454913517
R00133,0,0,,0,Banashankari,Beverage Shop,"Beverages, Juices",200,Delivery,,0.3442019454913517
R00134,0,0,,0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150,Delivery,,0.3442019454913517
R00135,0,0,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,,0.3442019454913517
R00136,0,0,,0,Banashankari,Quick Bites,"South Indian, Chinese",150,Delivery,,0.3442019454913517
R00137,0,0,,0,Banashankari,Quick Bites,Andhra,250,Delivery,,0.3442019454913517
R00138,0,0,,0,Banashankari,Quick Bites,Biryani,250,Delivery,,0.3442019454913517
R00139,0,0,,0,Banashankari,Quick Bites,"South Indian, Biryani",150,Delivery,,0.3442019454913517
R00140,0,0,,0,Banashankari,Confectionery,Desserts,200,Delivery,,0.3442019454913517
R00141,0,0,,0,Banashankari,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",350,Delivery,,0.3442019454913517
R00142,0,0,,0,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,,0.3442019454913517
R00143,0,0,,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100,Delivery,,0.3442019454913517
R00144,0,0,,0,Banashankari,Quick Bites,"South Indian, Beverages",150,Delivery,,0.3442019454913517
R00145,1,0,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,0.3113543327609469,0.6781246830622052
R00146,0,0,3.0,98,Banashankari,Bar,"North Indian, Chinese",800,Delivery,0.1583320556850239,0.4272284517631289
R00147,1,0,3.9,47,Basavanagudi,Quick Bites,South Indian,200,Delivery,0.2726431221636207,0.5259953023177508
R00148,1,1,4.1,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,0.3030123114191094,0.6257929743445275
R00149,1,0,3.8,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,Delivery,0.2601320066233287,0.5241374827377737
R00150,1,0,3.8,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,Delivery,0.2773135655586899,0.6224511433037372
R00151,1,0,3.8,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,Delivery,0.2624846682202869,0.5584839570683962
R00152,1,0,4.1,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,0.3088939654115049,0.6599866185681167
R00153,1,0,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450,Delivery,0.2760659419845455,0.6196067307668056
R00154,0,0,,0,Banashankari,Quick Bites,Fast Food,100,Delivery,,0.3442019454913517
R00155,1,0,4.1,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,0.3123873114191094,0.6722471153028151
R00156,1,0,3.7,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,Delivery,0.2545719367104133,0.5732493394039415
R00157,1,0,3.9,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery,0.27699198147921,0.5894640378554772
R00158,1,0,3.0,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery,0.1572270176622102,0.4245008826898976
R00159,1,0,3.7,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery,0.2486189899423524,0.5324174238785064
R00160,1,0,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery,0.1939761437507665,0.4301746463243882
R00161,1,0,3.3,12,Banashankari,Quick Bites,Biryani,300,Delivery,0.1939761437507665,0.4301746463243882
R00162,1,0,3.6,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800,Delivery,0.2392091101435054,0.5431846702226429
R00163,1,0,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300,Delivery,0.1940117901385992,0.4319895883355256
R00164,1,0,4.6,228,Jayanagar,Cafe,"Cafe, Beverages",400,Delivery,0.3694176990065006,0.7304849765015672
R00165,1,0,4.1,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150,Delivery,0.299269440696676,0.5731729573212033
R00166,1,1,4.1,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200,Delivery,0.3097494787194896,0.66332593812752
R00167,1,0,3.7,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,Delivery,0.2489754538206794,0.5364041996530459
R00168,1,0,3.2,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,Delivery,0.1865981080583834,0.4686358862072604
R00169,1,0,4.0,115,Banashankari,Sweet Shop,"Mithai, Street Food",400,Delivery,0.2879703023426959,0.586659419548762
R00170,1,0,3.7,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,Delivery,0.2461237427940635,0.4810314603070846
R00171,1,0,3.5,57,Banashankari,Quick Bites,Biryani,200,Delivery,0.2213866828161412,0.4860082103189226
R00172,1,0,3.8,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250,Delivery,0.2623420826689561,0.5570171836017059
R00173,1,0,3.8,15,Basavanagudi,Bakery,Bakery,400,Delivery,0.2585992119465227,0.4638060919656651
R00174,1,0,4.2,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,0.3119587881761315,0.5807873242777177
R00175,1,0,3.6,66,Banashankari,Quick Bites,South Indian,150,Delivery,0.2346107261130872,0.5036179615156344
R00176,1,0,3.0,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,Delivery,0.1651761621489022,0.4458590578400914
R00177,1,0,4.1,233,Basavanagudi,Quick Bites,Street Food,200,Delivery,0.305079801913406,0.6409260437749689
R00178,1,0,3.8,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250,Delivery,0.2621638507297926,0.5551107853682503
R00179,1,0,3.1,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,0.1719838556359622,0.4452381696691587
R00180,1,1,3.9,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery,0.2813408407947994,0.6147449459161938
R00181,1,0,4.5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,Delivery,0.353912286888262,0.6868718023379985
R00182,1,0,4.1,305,Kumaraswamy Layout,Casual Dining,Italian,700,Delivery,0.3076463418373604,0.6546071821766368
R00183,1,0,3.6,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,Delivery,0.2338977983564332,0.4909606428876231
R00184,1,0,3.5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350,Delivery,0.2209589261621488,0.4789991046729146
R00185,1,0,3.9,38,Banashankari,Dessert Parlor,Ice Cream,150,Delivery,0.2723223046731263,0.5152076233016136
R00186,1,0,3.9,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,Delivery,0.2866877989697043,0.6334164213059568
R00187,1,0,3.9,25,Basavanagudi,Quick Bites,South Indian,100,Delivery,0.2718589016313013,0.4942025162245353
R00188,1,0,4.3,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,Delivery,0.345037869495891,0.7294294244234291
R00189,1,0,3.8,25,Kumaraswamy Layout,Quick Bites,South Indian,150,Delivery,0.2589556758248497,0.4860971359014789
R00190,1,0,3.9,160,Kumaraswamy Layout,Quick Bites,Arabian,300,Delivery,0.2766711639887157,0.5868571484435611
R00191,1,0,4.2,287,Banashankari,Quick Bites,North Indian,350,Delivery,0.3199079326628235,0.6702843381016992
R00192,1,0,3.6,11,Basavanagudi,Quick Bites,South Indian,100,Delivery,0.2326501747822887,0.4417427418576865
R00193,1,0,4.1,402,Banashankari,Cafe,Cafe,500,Delivery,0.3111040414571323,0.6681371443261047
R00194,1,0,3.8,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750,Delivery,0.2747826720225683,0.6164614645654445
R00195,1,0,3.3,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,0.2117636912792836,0.52106422903368
R00196,1,0,3.9,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,0.2729995860419477,0.535791787094985
R00197,1,0,3.4,14,Banashankari,Quick Bites,South Indian,300,Delivery,0.2069506623328835,0.4390858622115118
R00198,1,0,3.9,264,Banashankari,Quick Bites,South Indian,200,Delivery,0.2803783883233164,0.6102927877315308
R00199,1,0,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Delivery,0.1570487857230467,0.4241285064583278
R00200,1,0,3.8,693,Banashankari,Casual Dining,"Pizza, Fast Food",750,Delivery,0.282767462897093,0.632998042360718
R00201,1,0,3.8,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,Delivery,0.2666909419845455,0.5879886511755743
R00202,1,0,3.6,27,Basavanagudi,Dessert Parlor,Fast Food,250,Delivery,0.2332205169876119,0.4725351145802103
R00203,1,0,4.1,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,Delivery,0.3025845547651171,0.6219385118448881
R00204,1,0,4.2,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,Delivery,0.3164858794308843,0.6481020216349807
R00205,1,0,3.5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,Delivery,0.2204955231203237,0.4690103672290722
R00206,1,0,2.5,247,Banashankari,Casual Dining,North Indian,500,Delivery,0.099127238439838,0.3503036630382406
R00207,1,1,4.1,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500,Delivery,0.3801510946890714,0.7468604545954467
R00208,1,0,4.1,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300,Delivery,0.3087870262480068,0.6595505916700279
R00209,1,0,3.9,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,Delivery,0.2757800042928982,0.5786909949658068
R00210,1,0,3.6,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700,Delivery,0.2383892432233533,0.5384618976066862
R00211,1,0,3.6,105,Banashankari,Casual Dining,Vietnamese,700,Delivery,0.2360009352385624,0.5202480898367017
R00212,1,0,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,0.3276431988225193,0.6986762390895289
R00213,1,0,3.2,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200,Delivery,0.1819284312522998,0.4424411118054934
R00214,1,0,3.1,39,Kumaraswamy Layout,Quick Bites,North Indian,300,Delivery,0.1691321446093462,0.433070641441145
