address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,listed_in(type),listed_in(city),popularity_score,appeal_score
"Ground Floor, RMZ Eco World, Bellandur, Bangalore",Starbucks,0,0,3.9,38,Bellandur,"Cafe, Food Court","Cafe, Desserts",700,Cafes,Bellandur,0.27232230467312635,0.5152076233016136
"Adarsh Palm Retreat, Bellandur Flyover, Bellandur, Bangalore",Puro Gusto,0,0,3.9,25,Bellandur,Cafe,Cafe,400,Cafes,Bellandur,0.2718589016313013,0.4942025162245353
"The Market Place, Campus 4 A & B, RMZ Eco world, Outer Ring Road, Varthur Hobli, Bellandur, Bangalore",Tata Cha,1,0,3.6,34,Bellandur,"Beverage Shop, Cafe","Tea, Fast Food, Cafe",400,Cafes,Bellandur,0.2334700417024408,0.48048322441505875
"Salarpuria Softzone, Outer Ring Road",Cafe Coffee Day,1,0,3.1,48,Bellandur,Cafe,"Cafe, Fast Food",900,Cafes,Bellandur,0.16945296209984054,0.4347401954495739
"Pritech Park Food Court, RMZ Ecospace, Bellandur, Bangalore",Tea Totallers,1,0,2.9,19,Bellandur,Cafe,"Cafe, Continental, Tea",500,Cafes,Bellandur,0.142612765239789,0.41302059717203243
"19, First Floor, Bellandur Bus Stop, Outer Ring Road, Opposite Central Mall, Bellandur, Bangalore",Delitz Creamvilla Cafe,1,0,4.0,74,Bellandur,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream",600,Cafes,Bellandur,0.28650880044155524,0.562751663454464
"Pritech park, Lower Ground Floor, Food Court, RMZ Ecospace, Bellandur, Bangalore",The Brewing Bean,0,0,3.7,47,Bellandur,Cafe,Cafe,500,Cafes,Bellandur,0.24683667055071748,0.5031381298067319
"Opposite Assez Apartment, Gear School Road, Bellandur, Bangalore",Cuppa,0,0,3.7,33,Bellandur,Cafe,"Cafe, Fast Food",550,Cafes,Bellandur,0.2463376211210597,0.4889948407210535
"Sarjapura - Marathahalli Outer Ring Road, Kadubeesanahalli, Bellandur Post, Bangalore, Bengaluru, Bellandur, Bangalore, Bengaluru",Re:fuel- Aloft Bengaluru Cessna Business Park,0,0,,0,Bellandur,"Cafe, Bakery","Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich",1000,Cafes,Bellandur,,0.34420194549135175
"RMZ Eco Space, Varthur Hobli, Bellandur, Bangalore",Costa Coffee,0,0,3.0,6,Bellandur,Cafe,"Cafe, Fast Food",500,Cafes,Bellandur,0.15505258800441554,0.4050218238869968
"Next to New Horizon Gurukul School, Behind Cessna Business Park, Bellandur, Bangalore",Cafe Olive,0,0,3.8,114,Bellandur,Cafe,"Cafe, European, Beverages, Italian",550,Cafes,Bellandur,0.26212820434195994,0.5547192155053555
"35, 1st Cross, Outer Ring Road, Bellandur, Bangalore",Cafe Thulp,1,1,4.0,341,Bellandur,Cafe,"Cafe, Burger, Italian, Salad",1000,Cafes,Bellandur,0.29602638599288605,0.6410294588206787
"SY 79-3, Shop 9, Ground Floor, Outer Ringer Road, Bellandur, Bangalore",Chai Resto,0,0,3.6,5,Bellandur,Quick Bites,"Fast Food, Tea",200,Cafes,Bellandur,0.2324362964552925,0.41548809193223574
"17, Adjacent To Kaikondrahalli Lake, Sarjapur Road, Bangalore",Stoner,1,0,4.3,556,Sarjapur Road,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500,Cafes,Bellandur,0.34240003679627123,0.7233322200966694
"Ground Floor, Sri Renuka Complex, Opposite Fire Station, Kaikondrahalli, Sarjapur Road, Bangalore",Zoey's,1,0,4.3,894,Sarjapur Road,Cafe,"Cafe, Italian, Continental, Burger",600,Cafes,Bellandur,0.3544485158837237,0.7460053523892334
"1630/1504/05, Ground Floor, Kasavanhalli Hobli, Behind Bata Show Room, Off Sarjapur Road, Bangalore",Eating Love,1,0,4.3,149,Sarjapur Road,Cafe,"Cafe, Italian, Pizza",800,Cafes,Bellandur,0.3278919569483625,0.6505697702330602
"10/3, Devarabeesanahali, Outer Ring Road, Opposite Embassy Tech Park, Marathahalli, Bangalore",Light House Cafe,1,0,3.7,94,Marathahalli,Cafe,"Cafe, Beverages, Continental, North Indian, Chinese",700,Cafes,Bellandur,0.24851205077885438,0.5311417938898968
"71/1A, Lingappa Reddy Complex, Carmelaram Post, Sarjapur Main Road, Sarjapur Road, Bangalore",Chaai Resto,1,0,4.1,33,Sarjapur Road,Cafe,"Cafe, Rolls, Fast Food",200,Cafes,Bellandur,0.2979505243468661,0.5271646101126573
"Hagadur Main Road, Near Imperio Market, Whitefield, Bangalore",Imperio Cafe,0,0,3.9,22,Whitefield,Quick Bites,"Cafe, Fast Food, Pizza, Burger, Beverages",200,Cafes,Bellandur,0.2717519624678032,0.4879074931031507
"Play Arena, Central Jail Road, Off Sarjapur Road, Sarjapur Road, Bangalore",The Shed,0,0,,0,Sarjapur Road,Cafe,"Cafe, Fast Food",400,Cafes,Bellandur,,0.34420194549135175
"65/2, MV Complex, Kaikondrahalli, Carmelaram Post, Varthur Hobli, Sarjapur Road, Bangalore",Biggies Burger 'n' More,0,0,,0,Sarjapur Road,Quick Bites,"Burger, American, Beverages, Cafe",650,Cafes,Bellandur,,0.34420194549135175
"39/12, 5th Main Road, Iblur Village, Outer Ring Road, Behind Enzo Hotel, Bellandur, Bangalore",eat.fit,1,0,4.4,632,Bellandur,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Delivery,Bellandur,0.3580123880780081,0.749677351942291
"Shop 37, 3rd Cross, Outer Ring Road, Kadubisnahalli, Marathahalli, Bangalore",Sher-E-Punjab,1,0,3.4,414,Marathahalli,Quick Bites,"North Indian, Chinese",400,Delivery,Bellandur,0.22120921746596342,0.5332612070826303
"56, Kariyammana Agrahara Road, Near Sakra Hospital, Bellandur, Bangalore",Blue Berry Restaurant,1,0,3.9,146,Bellandur,Casual Dining,"North Indian, Biryani, Chinese, Beverages",650,Delivery,Bellandur,0.27617211455905794,0.5824696253485533
"158, Srivaru Towers, Greenglen Layout, Bellandur, Bangalore",BOX8- Desi Meals,1,0,4.1,166,Bellandur,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Bellandur,0.30269149392861516,0.622931914602213
"2nd Floor, All Season Super Market Building, Panathur Road, Kadubeesanahalli, Panathur, Marathahalli, Bangalore",FreshMenu,1,0,3.2,113,Marathahalli,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Bellandur,0.18467320311541766,0.46011639644625324
"17/1, ARB Complex, Ambalipura, Bellandur, Bangalore",Udupi Ruchi,1,0,3.8,240,Bellandur,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Bellandur,0.2666196492088801,0.5876272394362364
"33/1 - 33/2, Outer Ring Road, Next to Maruti Showroom, Bellandur, Bangalore",Rangla Punjab,1,0,2.9,313,Bellandur,Quick Bites,"North Indian, Chinese",450,Delivery,Bellandur,0.1530928032626027,0.4288577043474824
"3/3, Muniyanna Building, Behind Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Thiruvithamkoor Restaurant,1,0,3.3,294,Sarjapur Road,Quick Bites,"Kerala, Seafood, South Indian, Biryani",400,Delivery,Bellandur,0.20402842511958783,0.5025361241565123
"1554, Ground Floor, 19th Main, Sector 1, HSR, Bangalore",The Paratha Company,1,0,4.3,166,HSR,Delivery,North Indian,400,Delivery,Bellandur,0.3284979455415184,0.6572517394599542
"36 Aarush, Sri Balaji Layout, Ambulipura, Sarjapur Road, Bangalore",nu.tree,1,0,4.4,278,Sarjapur Road,Delivery,"North Indian, Healthy Food, Beverages",400,Delivery,Bellandur,0.3453935667852325,0.7058991671693553
Best Of Bengal,Best Of Bengal,1,0,3.8,230,Marathahalli,Quick Bites,Bengali,300,Delivery,Bellandur,0.2662631853305531,0.585771942206328
"4, Ground Floor, Lakshaman Reddy Building, Marthahalli Ring Road, Bellandur, Bangalore",Kerala Panoor Restaurant,1,0,3.5,137,Bellandur,Quick Bites,"Kerala, Seafood, Biryani, South Indian",350,Delivery,Bellandur,0.2242383938427572,0.5135245494865259
"89/1, Tulasi Theater Road, Near SBR Palace, Marathahalli, Bangalore",Odians,1,0,3.2,38,Marathahalli,Quick Bites,"North Indian, Chinese, Oriya",500,Delivery,Bellandur,0.1819997240279652,0.44315797421220715
"5/1, SLN Building, Gear School Road, Sarjapur Road, Bangalore",Pet Full @ 99,1,0,3.1,15,Sarjapur Road,Quick Bites,North Indian,200,Delivery,Bellandur,0.16827663130136145,0.42368445936653615
"7th Cross, Sector 1, HSR, Bangalore",New Punjabi Dhaba,1,0,3.9,782,HSR,Quick Bites,"North Indian, Chinese",300,Delivery,Bellandur,0.2988432172206549,0.6584171354135622
"33/1, 33/2 Bellendur Outer Ring Road, Bellandur, Bangalore",Punjabi Dawat,1,0,2.9,248,Bellandur,Quick Bites,"North Indian, Chinese",400,Delivery,Bellandur,0.15077578805347722,0.42379230300120607
"Kaikondrahalli, Sarjapur Road, Bangalore",Burger King,1,0,3.8,62,Sarjapur Road,Quick Bites,"Burger, Fast Food",500,Delivery,Bellandur,0.2602745921746596,0.5271722851983563
"73/3, Bellandur Out Ring Road Near Rasahana Hotel",Kerala Mess Upahar,1,0,3.7,123,Bellandur,Mess,"Kerala, Biryani, South Indian",300,Delivery,Bellandur,0.24954579602600266,0.5420732587663061
"18/1, HMR Complex, Near Ganesh Temple, Bellandur, Bangalore",Phulke Ghar Ke,1,0,4.0,532,Bellandur,Quick Bites,"North Indian, Chinese",300,Delivery,Bellandur,0.3028348460689317,0.661552218523078
"27th Main road, Sriven Teesta, Near Raymond?s Showroom HSR, Bangalore",XO Belgian Waffle,1,0,4.5,141,HSR,Dessert Parlor,"Desserts, Beverages",400,Delivery,Bellandur,0.3534132374586042,0.6802579033388731
"20/5, Narayanswamy Building, Kadubeesanahalli Bridge, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",Lassi Corner,1,0,3.8,68,Marathahalli,Quick Bites,"Beverages, Juices, Ice Cream, Fast Food, Sandwich",200,Delivery,Bellandur,0.26048847050165574,0.5313727475194976
"Beside JDA Software, Near Mantri Espana Apartment, Devarabeesinahalli, Bellandur, Bangalore",Coastal Fish Land,1,0,,0,Bellandur,Casual Dining,Mangalorean,500,Delivery,Bellandur,,0.34420194549135175
"2331, 17th Cross, 24th Main, HSR, Bangalore",Bathinda Junction,1,1,4.0,533,HSR,Casual Dining,North Indian,600,Delivery,Bellandur,0.3028704924567644,0.6616372247531319
"13/23, 3rd Floor, Above HDFC Bank Haralur Main Road, Ambalipura, Sarjapur Road, Banglore",The Meal Story,1,0,4.2,258,Sarjapur Road,Casual Dining,"North Indian, Street Food",700,Delivery,Bellandur,0.31887418741567525,0.6646289293210897
"90/4, Above Sony Centre, Opposite Park Plaza, Outer Ring Road, Marathahalli, Bangalore",Meghana Foods Grand,1,0,4.2,3334,Marathahalli,Casual Dining,"Biryani, Seafood, Andhra, North Indian",600,Delivery,Bellandur,0.42852247638905927,0.7829961141496145
"207, Green Glen Layout, Opposite M.K. Ahmed Super Market, Bellandur, Bangalore",Murli,1,0,3.9,1233,Bellandur,Casual Dining,"North Indian, Chinese, Street Food, Fast Food, Mithai",500,Delivery,Bellandur,0.3149197381332024,0.6778637156994872
"52 & 62, MBR Complex, Amritha College Road, Kasavanahalli, Sarjapur Road, Bangalore",Barbeque Delight,1,1,3.8,188,Sarjapur Road,Casual Dining,"Arabian, Kerala, North Indian, Chinese, BBQ",800,Delivery,Bellandur,0.26476603704157975,0.5769394674614554
"Opposite Passport Office, Near Sakra Hospital, Bellandur, Bangalore",Basmati Restaurant,1,0,3.8,419,Bellandur,Casual Dining,"Biryani, Andhra, North Indian, Chinese",900,Delivery,Bellandur,0.27300035263093336,0.6116541580114865
"77, Ground Floor, Bellandur Outer Ring Road, Bellandur, Bangalore",Empire Restaurant,1,0,3.8,2084,Bellandur,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Bellandur,0.3323515883723782,0.6789854006930371
"6/2, Near Wipro Headquaters, Kaikondrahalli, Sarjapur Road, Bangalore",Reddy's Restaurant,1,0,3.6,34,Sarjapur Road,Casual Dining,"Andhra, Biryani, South Indian, Chinese",500,Delivery,Bellandur,0.2334700417024408,0.48048322441505875
"Kadubeesanahalli, Near Aricent Technologies, Marathahalli, Bangalore",Hyderabad Biryaani House,1,0,3.7,833,Marathahalli,Casual Dining,"Biryani, North Indian, Chinese",550,Delivery,Bellandur,0.2748547313872194,0.6203454847256158
"94/2, Panathur Railway Station Road, Opp to JP Morgan (Outer Ring Road), Munnireddy Layout, Panathur, Bangalore",Sukhi Bhava,1,0,3.6,21,Marathahalli,Quick Bites,"Andhra, Chinese, Biryani",300,Delivery,Bellandur,0.23300663866061572,0.46389148279139875
"19 Outer Ring Road, Opposite To Bangalore Central Mall, Bellandur, Bangalore",Kanti Sweets,1,0,4.0,152,Bellandur,Sweet Shop,"Mithai, Street Food",400,Delivery,Bellandur,0.28928921869250585,0.6012557989694002
"Shop 5, LNR Building, Harlur Road, HSR, Bangalore",Fun Kitchen,1,0,3.8,87,HSR,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,Bellandur,0.2611657518704771,0.5425456145791702
"1, 6/2, Opposite Foodworld Supermarket, 12th Cross, Kasavanahalli Main Road, Sarjapur Road, Bangalore",Hyderabadi Biryani Hub,1,0,3.5,45,Sarjapur Road,Quick Bites,"Biryani, North Indian",600,Delivery,Bellandur,0.22095892616214885,0.4789991046729146
"89/1, Service Road, Marathahalli, Bangalore",Moriz Restaurant,1,0,2.9,666,Marathahalli,Casual Dining,"Arabian, North Indian, Seafood, Chinese, Biryani",800,Delivery,Bellandur,0.16567597816754567,0.4499064110714909
"88, KBR Complex, More Mega Store, Marathahalli, Bangalore",Polar Bear,1,0,3.9,105,Marathahalli,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Bellandur,0.27471061265791724,0.5664154478959734
"1614, Opp. Axis Bank, Near Grand City Super Market, Doddakannelli, Devarabisanahalli, Bellandur, Bangalore",Blueberry Restaurant,1,0,3.7,36,Bellandur,Quick Bites,"North Indian, Biryani, South Indian",400,Delivery,Bellandur,0.2464445602845578,0.49246288751349854
"26/2, Outer Ring Road, Near Ecospace IT Park, Bellandur, Bangalore",Biryani Kitchen,1,0,3.9,214,Bellandur,Quick Bites,Biryani,400,Delivery,Bellandur,0.2785960689316815,0.6005793856877055
"74/8, Ground Floor, GMR Complex, Outer Ring Road, Bellandur, Bangalore",Udupi Aatithya,1,0,4.0,77,Bellandur,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Bellandur,0.2866157396050534,0.5649424725180733
"6, Gear School Road, Sarjapur Road, Bangalore",Pepperwood,1,0,3.8,132,Sarjapur Road,Quick Bites,"Biryani, Rolls",300,Delivery,Bellandur,0.26276983932294856,0.561275715787376
"Sree Renuka Complex, Kaikondarahalli, Sarjapur Road, Bangalore",NY Pizza And Waffles,1,0,,0,Sarjapur Road,Quick Bites,"Pizza, Fast Food",300,Delivery,Bellandur,,0.34420194549135175
"Opposite Shobha Marvell Apartments, Green Glen Layout, Bellandur, Bangalore",Biriyani House,1,0,3.6,27,Bellandur,Casual Dining,Biryani,400,Delivery,Bellandur,0.2332205169876119,0.47253511458021036
"33/1 - 33/2, Outer Ring Road, Near Maruti Showroom, Bellandur, Bangalore",Punjabi Khana,1,0,3.0,12,Bellandur,Quick Bites,North Indian,500,Delivery,Bellandur,0.15526646633141172,0.4156400171564018
"64&65, 27th Main Road, Sector 1, HSR Layout",Al Daaz,1,0,4.2,567,HSR,Casual Dining,"North Indian, Continental, BBQ",550,Delivery,Bellandur,0.3298889212559794,0.7043399308260136
"158, Srivaru Towers, Greenglen Layout, Bellandur, Bangalore",Mojo Pizza - 2X Toppings,1,0,4.1,164,Bellandur,"Takeaway, Delivery",Pizza,600,Delivery,Bellandur,0.30262020115294974,0.6222719573011625
"27th Main, Near NIFT, Sector-1, HSR, Bangalore",Chai Point,1,0,4.0,316,HSR,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Delivery,Bellandur,0.29513522629706856,0.6374293880816622
"2318, 27th Main Road, 1st Sector, HSR, Bangalore",Onesta,1,1,4.4,3738,HSR,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,Bellandur,0.4687300686863731,0.8301669035659973
"569/4, Sector 1, HSR, Bangalore",Bihar Ki Shan,1,0,3.9,343,HSR,Quick Bites,North Indian,300,Delivery,Bellandur,0.2831944529620998,0.6221913264531593
"Panathur Main Road, Kadubeesanahalli, Marathahalli, Bangalore",Sai Santhi Cafe,1,0,3.8,62,Marathahalli,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Bellandur,0.2602745921746596,0.5271722851983563
"127, Kadubisannhalli, Panathur Main Road, Marathahalli, Bangalore",Sri Vishnu Veg,1,0,3.5,11,Marathahalli,Quick Bites,South Indian,200,Delivery,Bellandur,0.21974694897583708,0.43721619869265665
"1/1, Junnasandra Main Road, Sarjapur Road, Bangalore",Shudh,1,0,4.1,87,Sarjapur Road,Delivery,North Indian,300,Delivery,Bellandur,0.2998754292898319,0.5861778900307231
"25, 17/1, Behind HDFC Bank, Ambalipura Village, Sarjapur Road, Bangalore",Biryani Miya,1,0,3.8,44,Sarjapur Road,Delivery,"Biryani, North Indian",600,Delivery,Bellandur,0.25963295719367097,0.5115678451345094
"13, 1st Floor, Above Amba Bajaj, Sarjapur Marthahalli Outer Ring Road, Bellandur, Bangalore",Mani's Dum Biryani,1,0,4.0,894,Bellandur,Casual Dining,"Biryani, Kebab",750,Delivery,Bellandur,0.31573883846436895,0.6846256911381168
"21, 22, 23, Ground Floor, Central Jail Road, Kasavanahalli Village, Varthur Hobli, Sarjapur Road, Bangalore",Sri Vishnu Grand & Garden Restaurant,1,0,3.8,7,Sarjapur Road,Quick Bites,"South Indian, North Indian, Fast Food",500,Delivery,Bellandur,0.2583140408438611,0.4327465538439336
"Ganapa Tower, Outer Ring Road, Bellandur, Bangalore",Hyderabadi Bawarchi Biriyani,1,0,,0,Bellandur,Casual Dining,Biryani,450,Delivery,Bellandur,,0.34420194549135175
"65/1A, Opposite Bata Showroom, Sarjapur Road, Bangalore",Donne Biriyani House,1,0,3.2,126,Sarjapur Road,Quick Bites,Biryani,300,Delivery,Bellandur,0.18513660615724276,0.4623305347658347
"5, Bellandur Gate, Sarjapur Road, Bangalore",Potful,1,0,3.8,832,Sarjapur Road,Delivery,"Biryani, Kebab, Rolls, Mughlai",650,Delivery,Bellandur,0.28772231080583827,0.6406894356860244
"Ground Floor, Vims Hospital Buidling, Opposite to More, Marathahalli, Bangalore",Bahar Cafe,1,1,4.0,903,Marathahalli,Casual Dining,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",750,Delivery,Bellandur,0.31605965595486324,0.6850636645036303
"77 Town Center, Yemalur Road, Marathahalli Village, Marathahalli, Bangalore",Subway,1,0,3.7,38,Marathahalli,Quick Bites,"Salad, Fast Food",600,Delivery,Bellandur,0.2465158530602232,0.4946220092760688
"Ground Floor, Total Mall, Sarjapur Road, Bangalore",KFC,1,0,3.2,380,Sarjapur Road,Quick Bites,"Burger, Fast Food",450,Delivery,Bellandur,0.19419078866674847,0.49158873378356666
"Near Madurai Idly, SGR Dental College Road, CKB Layout, Chandra Layout, Marathahalli, Bengalore",DinePost9,1,0,3.8,798,Marathahalli,Delivery,"North Indian, South Indian, Chinese, Continental",450,Delivery,Bellandur,0.2865103336195265,0.6389364202421017
"Next To Bangalore Central Bellandur, Bellandur, Bangalore",Thalassery Restaurant,1,0,3.4,692,Bellandur,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",600,Delivery,Bellandur,0.2311189132834539,0.5521319431424141
"No 528, BVR complex, Ambalipura Village, Sarjapur Road, Bangalore",Sri Vishnu Grand,1,0,3.8,135,Sarjapur Road,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Bellandur,0.26287677848644664,0.5622775998116176
"65/3/1, Thalanki Complex, Kaikondrahalli Village, Sarjapur Road, Bangalore",Paradise,1,0,,0,Sarjapur Road,Delivery,"Biryani, North Indian",600,Delivery,Bellandur,,0.34420194549135175
"457/32, Opposite Bangalore Central Mall, Outer Ring Road, Bellandur, Bangalore",Bathinda Dine,1,0,4.0,230,Bellandur,Casual Dining,North Indian,950,Delivery,Bellandur,0.2920696369434564,0.6220936169824154
"Ground Floor, More Megastore, Service Road, Marathahalli, Bangalore",WOW! Momo,1,0,3.5,79,Marathahalli,Quick Bites,"Chinese, Momos",400,Delivery,Bellandur,0.22217090334846065,0.49591709381599536
"Kasavanahalli Main Road, Sarjapur Road, Bangalore",Behrouz Biryani,1,0,4.0,357,Sarjapur Road,Delivery,Biryani,650,Delivery,Bellandur,0.29659672819820926,0.6431843303906599
"Green Glen Layout, Bellandur, Bangalore",Sri Krishna Kitchen,1,0,3.6,22,Bellandur,Quick Bites,"North Indian, Chinese",350,Delivery,Bellandur,0.2330422850484484,0.4654903269525262
"1554, Ground Floor, 19th Main, Sector - 1, HSR, Bangalore",Maa Bhook Lagi,1,0,4.1,152,HSR,Delivery,North Indian,400,Delivery,Bellandur,0.3021924444989574,0.6181082705550792
"18 17/1, 2nd Floor, Ambalipura Sarjapur Main Road, Bellandur Gate, Bellandur, Bangalore",Cake Town Cafe,1,0,3.9,75,Bellandur,"Bakery, Dessert Parlor","Bakery, Desserts",500,Delivery,Bellandur,0.27364122102293625,0.5496572688346186
"Opposite Eco Space, Outer Ring Road, Bellandur, Bangalore",Kairali Restaurant,1,0,3.9,94,Bellandur,Quick Bites,Kerala,200,Delivery,Bellandur,0.27431850239175753,0.5609407743487068
"Near MK Retail, Kaikondahalli Main Road, Sarjapur Road, Bangalore",Basaveshwara Khanavali,1,0,3.6,11,Sarjapur Road,Quick Bites,South Indian,150,Delivery,Bellandur,0.23265017478228872,0.4417427418576865
"225, 2nd Cross, Opposite BBMP Office, Bellandur, Bangalore",Punjabi Food Point,1,0,3.3,200,Bellandur,Quick Bites,"North Indian, Mughlai, Biryani, Chinese",450,Delivery,Bellandur,0.20067766466331405,0.4908681727162352
"2733, 16th Cross, 27th Main, Opposite NIFT, Sector 1, HSR Layout, Bangalore, HSR, Bangalore",Punjabi Tadka,1,0,2.8,188,HSR,Casual Dining,"North Indian, Chinese",400,Delivery,Bellandur,0.13573377897706362,0.4012686219619208
Delivery Only,Costa Biryanis,1,0,3.3,10,East Bangalore,Delivery,"Andhra, Biryani, North Indian, South Indian",300,Delivery,Bellandur,0.19390485097510113,0.4259152719798022
"88, Outer Ring Road, Next To More Mega Store, Marathahalli, Bangalore",Sri Udupi Park,1,0,3.1,226,Marathahalli,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,Bellandur,0.17579801913406107,0.4582198741968876
"203/205, Mint Plaza, Green Glen Layout, Opposite Quartz, Off Outer Ring Road, Bellandur, Bangalore",Pizza Hut,1,0,2.8,105,Bellandur,Quick Bites,"Pizza, Fast Food",600,Delivery,Bellandur,0.13277512878694955,0.39713513501197695
"Above Star Supermarket, VGR Essor, Sarjapur Road, Bangalore",The Punjabi Rasoi,1,1,3.7,194,Sarjapur Road,Casual Dining,North Indian,800,Delivery,Bellandur,0.2520766895621243,0.5606553958879815
"543, 7th Cross, 24th Main, Opposite Nous Info Systems, Sector 1, HSR, Bangalore",Punjab Di Shaan,1,0,3.0,38,HSR,Casual Dining,North Indian,450,Delivery,Bellandur,0.15619327241506192,0.42257236018666244
"5/1 SLN Building, Doddakanelli-Kaadubeesanahalli Road, Near Prestige Trinity Center, Bellandur, Bangalore",Punjabi Nukkad Pure Veg,1,0,3.5,378,Bellandur,Quick Bites,"North Indian, Chinese, Juices",500,Delivery,Bellandur,0.23282917331043781,0.549335329972474
"29/1, Linga Reddy Complex, Sarjapura Main Road, Sarjapur Road, Bangalore",Atithi Sambrama,1,0,3.9,69,Sarjapur Road,Quick Bites,"South Indian, North Indian, Chinese",200,Delivery,Bellandur,0.27342734269594005,0.5454586609064306
"13th Cross, 24th Main, Opposite Assetz Apartment, 1st Sector, HSR, Bangalore",Navya's,1,0,2.9,45,HSR,Casual Dining,"North Indian, Andhra",600,Delivery,Bellandur,0.1435395713234392,0.4118186965999544
"Parijatha Avenue, Bellandur, Bangalore",Lassi Shop,1,0,3.9,152,Bellandur,Beverage Shop,"Beverages, Ice Cream, Fast Food",300,Delivery,Bellandur,0.27638599288605414,0.5844033273837211
"7th Cross Road, Agara Village, 1st Sector, HSR, Bangalore",Mandya Gowdru Donne Biriyani,1,0,3.8,281,HSR,Quick Bites,"Biryani, South Indian",350,Delivery,Bellandur,0.2680811511100208,0.5944762081517384
"33/1, 2nd Main, Outer Ring Road, Bellandur, Bangalore",Marwari Basa,1,0,3.1,26,Bellandur,Quick Bites,"Rajasthani, North Indian",300,Delivery,Bellandur,0.16866874156752115,0.42971708747496296
"680-669, 13th Cross Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka",Indori Zaika,1,0,2.8,105,HSR,Quick Bites,North Indian,300,Delivery,Bellandur,0.13277512878694955,0.39713513501197695
"25, 17/1, Behind HDFC Bank, Ambalipura Village, Sarjapur Road, Bangalore",Mealer.in,1,0,3.9,432,Sarjapur Road,Delivery,"North Indian, Biryani",450,Delivery,Bellandur,0.28636698147921,0.6325021074396491
"40, 4th Cross Road, Vinayak Nagar, Konena Agrahara, Murgesh Pallya, Old Airport Road, Bangalore",Kya Khaoge,1,0,3.7,63,Old Airport Road,Delivery,"North Indian, Chinese",300,Delivery,Bellandur,0.24740701275604068,0.514937786767717
"77/1, CJR Arcade, Bellandur, Bangalore",Homelicious Food,1,0,,0,Bellandur,Quick Bites,North Indian,200,Delivery,Bellandur,,0.34420194549135175
"88, 1st Floor, VIMS Hospital Building, Outer Ring Road, Marathahalli, Bangalore",Rayalaseema Chefs,1,1,3.9,225,Marathahalli,Casual Dining,"North Indian, Biryani, Andhra, Chinese",800,Delivery,Bellandur,0.2789881791978412,0.602912593997437
"55/8 opp to sakra world hospital devarabisnahalli, Bellandur, Bangalore",Ambur Dum Biriyani,1,0,3.4,12,Bellandur,Quick Bites,Biryani,200,Delivery,Bellandur,0.20687936955721817,0.43501952271371697
"29, 1st Floor, 4th Cross, Kasavanahalli, Off Sarjapur Main Road, Sarjapur Road, Bangalore",The Nosh House,1,0,4.3,220,Sarjapur Road,Delivery,"American, Italian, Bakery, Desserts, Sandwich, Beverages, Salad, Rolls",600,Delivery,Bellandur,0.33042285048448417,0.674014861072415
"Ikon Building, Next to Sony Centre, Outer Ring Road, Marathahalli",Frozen Bottle,1,0,4.0,82,Marathahalli,Beverage Shop,"Beverages, Desserts",400,Delivery,Bellandur,0.2867939715442169,0.5683980770895067
"3, Srinivasa Nilayam, Vidya Vikas School Road, Panathur New Extension, Kaverappa Layout, Marathahalli, Bangalore",Warm Oven,1,0,3.8,65,Marathahalli,Bakery,"Bakery, Desserts",500,Delivery,Bellandur,0.26038153133815767,0.5293215485831145
"5, 1st Floor, Kasavanhalli, Sarjapur Road, Bangalore",Firangi Bake,1,0,4.1,88,Sarjapur Road,Delivery,"Mexican, Italian",600,Delivery,Bellandur,0.29991107567766456,0.5868540054463538
"3, 6th Floor, Bangalore Central Mall, Bellandur, Bangalore",Chaarcoal,1,0,4.0,444,Bellandur,Casual Dining,North Indian,1200,Delivery,Bellandur,0.2996979639396541,0.6533060876380907
"69, Kaikondrahalli, Sarjapur Road, Bangalore",Savoury Restaurant,1,0,2.9,827,Sarjapur Road,Casual Dining,"Arabian, North Indian, Chinese, Kerala, Seafood, Biryani",800,Delivery,Bellandur,0.1714150466086103,0.4569491347346273
